destroyed_buildings,destroyed_pixels,event_name,event_type,folder,image_fname,image_id,light_damaged_buildings,light_damaged_pixels,mask_fname,medium_damaged_buildings,medium_damaged_pixels,non_damaged_buildings,non_damaged_pixels,sample_id
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000002_post_disaster.png,hurricane-florence_00000002_post_disaster,0,0,train\masks\hurricane-florence_00000002_post_disaster.png,0,0,6,2839,00000002
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000002_pre_disaster.png,hurricane-florence_00000002_pre_disaster,0,0,train\masks\hurricane-florence_00000002_pre_disaster.png,0,0,6,2866,00000002
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000003_post_disaster.png,hurricane-florence_00000003_post_disaster,0,0,train\masks\hurricane-florence_00000003_post_disaster.png,0,0,60,119927,00000003
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000003_pre_disaster.png,hurricane-florence_00000003_pre_disaster,0,0,train\masks\hurricane-florence_00000003_pre_disaster.png,0,0,60,120023,00000003
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000008_post_disaster.png,hurricane-florence_00000008_post_disaster,0,0,train\masks\hurricane-florence_00000008_post_disaster.png,0,0,23,31008,00000008
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000008_pre_disaster.png,hurricane-florence_00000008_pre_disaster,0,0,train\masks\hurricane-florence_00000008_pre_disaster.png,0,0,23,31178,00000008
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000012_post_disaster.png,hurricane-florence_00000012_post_disaster,0,0,train\masks\hurricane-florence_00000012_post_disaster.png,0,0,34,82407,00000012
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000012_pre_disaster.png,hurricane-florence_00000012_pre_disaster,0,0,train\masks\hurricane-florence_00000012_pre_disaster.png,0,0,34,82559,00000012
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000015_post_disaster.png,hurricane-florence_00000015_post_disaster,0,0,train\masks\hurricane-florence_00000015_post_disaster.png,0,0,103,140477,00000015
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000015_pre_disaster.png,hurricane-florence_00000015_pre_disaster,0,0,train\masks\hurricane-florence_00000015_pre_disaster.png,0,0,103,140541,00000015
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000016_post_disaster.png,hurricane-florence_00000016_post_disaster,0,0,train\masks\hurricane-florence_00000016_post_disaster.png,0,0,63,81223,00000016
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000016_pre_disaster.png,hurricane-florence_00000016_pre_disaster,0,0,train\masks\hurricane-florence_00000016_pre_disaster.png,0,0,63,81223,00000016
5,288,hurricane-florence,post,train,train\images\hurricane-florence_00000018_post_disaster.png,hurricane-florence_00000018_post_disaster,0,0,train\masks\hurricane-florence_00000018_post_disaster.png,37,26516,0,0,00000018
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000018_pre_disaster.png,hurricane-florence_00000018_pre_disaster,0,0,train\masks\hurricane-florence_00000018_pre_disaster.png,0,0,42,26804,00000018
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000020_post_disaster.png,hurricane-florence_00000020_post_disaster,0,0,train\masks\hurricane-florence_00000020_post_disaster.png,0,0,12,7774,00000020
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000020_pre_disaster.png,hurricane-florence_00000020_pre_disaster,0,0,train\masks\hurricane-florence_00000020_pre_disaster.png,0,0,12,7774,00000020
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000022_post_disaster.png,hurricane-florence_00000022_post_disaster,0,0,train\masks\hurricane-florence_00000022_post_disaster.png,4,3630,2,276,00000022
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000022_pre_disaster.png,hurricane-florence_00000022_pre_disaster,0,0,train\masks\hurricane-florence_00000022_pre_disaster.png,0,0,6,3937,00000022
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000023_post_disaster.png,hurricane-florence_00000023_post_disaster,0,0,train\masks\hurricane-florence_00000023_post_disaster.png,0,0,3,2245,00000023
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000023_pre_disaster.png,hurricane-florence_00000023_pre_disaster,0,0,train\masks\hurricane-florence_00000023_pre_disaster.png,0,0,3,2245,00000023
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000024_post_disaster.png,hurricane-florence_00000024_post_disaster,0,0,train\masks\hurricane-florence_00000024_post_disaster.png,0,0,13,8375,00000024
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000024_pre_disaster.png,hurricane-florence_00000024_pre_disaster,0,0,train\masks\hurricane-florence_00000024_pre_disaster.png,0,0,13,8375,00000024
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000026_post_disaster.png,hurricane-florence_00000026_post_disaster,0,0,train\masks\hurricane-florence_00000026_post_disaster.png,0,0,25,17047,00000026
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000026_pre_disaster.png,hurricane-florence_00000026_pre_disaster,0,0,train\masks\hurricane-florence_00000026_pre_disaster.png,0,0,25,17075,00000026
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000027_post_disaster.png,hurricane-florence_00000027_post_disaster,0,0,train\masks\hurricane-florence_00000027_post_disaster.png,0,0,1,632,00000027
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000027_pre_disaster.png,hurricane-florence_00000027_pre_disaster,0,0,train\masks\hurricane-florence_00000027_pre_disaster.png,0,0,1,632,00000027
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000028_post_disaster.png,hurricane-florence_00000028_post_disaster,0,0,train\masks\hurricane-florence_00000028_post_disaster.png,0,0,141,128871,00000028
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000028_pre_disaster.png,hurricane-florence_00000028_pre_disaster,0,0,train\masks\hurricane-florence_00000028_pre_disaster.png,0,0,141,129001,00000028
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000030_post_disaster.png,hurricane-florence_00000030_post_disaster,0,0,train\masks\hurricane-florence_00000030_post_disaster.png,0,0,7,4751,00000030
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000030_pre_disaster.png,hurricane-florence_00000030_pre_disaster,0,0,train\masks\hurricane-florence_00000030_pre_disaster.png,0,0,7,4778,00000030
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000031_post_disaster.png,hurricane-florence_00000031_post_disaster,0,0,train\masks\hurricane-florence_00000031_post_disaster.png,0,0,11,9432,00000031
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000031_pre_disaster.png,hurricane-florence_00000031_pre_disaster,0,0,train\masks\hurricane-florence_00000031_pre_disaster.png,0,0,11,9432,00000031
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000032_post_disaster.png,hurricane-florence_00000032_post_disaster,0,0,train\masks\hurricane-florence_00000032_post_disaster.png,0,0,18,12732,00000032
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000032_pre_disaster.png,hurricane-florence_00000032_pre_disaster,0,0,train\masks\hurricane-florence_00000032_pre_disaster.png,0,0,18,12738,00000032
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000036_post_disaster.png,hurricane-florence_00000036_post_disaster,0,0,train\masks\hurricane-florence_00000036_post_disaster.png,0,0,40,33607,00000036
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000036_pre_disaster.png,hurricane-florence_00000036_pre_disaster,0,0,train\masks\hurricane-florence_00000036_pre_disaster.png,0,0,40,33607,00000036
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000037_post_disaster.png,hurricane-florence_00000037_post_disaster,0,0,train\masks\hurricane-florence_00000037_post_disaster.png,0,0,13,8475,00000037
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000037_pre_disaster.png,hurricane-florence_00000037_pre_disaster,0,0,train\masks\hurricane-florence_00000037_pre_disaster.png,0,0,13,8475,00000037
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000042_post_disaster.png,hurricane-florence_00000042_post_disaster,0,0,train\masks\hurricane-florence_00000042_post_disaster.png,0,0,17,11786,00000042
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000042_pre_disaster.png,hurricane-florence_00000042_pre_disaster,0,0,train\masks\hurricane-florence_00000042_pre_disaster.png,0,0,17,11786,00000042
1,1061,hurricane-florence,post,train,train\images\hurricane-florence_00000043_post_disaster.png,hurricane-florence_00000043_post_disaster,0,0,train\masks\hurricane-florence_00000043_post_disaster.png,0,0,0,0,00000043
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000043_pre_disaster.png,hurricane-florence_00000043_pre_disaster,0,0,train\masks\hurricane-florence_00000043_pre_disaster.png,0,0,1,1061,00000043
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000044_post_disaster.png,hurricane-florence_00000044_post_disaster,0,0,train\masks\hurricane-florence_00000044_post_disaster.png,0,0,6,2561,00000044
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000044_pre_disaster.png,hurricane-florence_00000044_pre_disaster,0,0,train\masks\hurricane-florence_00000044_pre_disaster.png,0,0,6,2561,00000044
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000045_post_disaster.png,hurricane-florence_00000045_post_disaster,0,0,train\masks\hurricane-florence_00000045_post_disaster.png,0,0,25,15363,00000045
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000045_pre_disaster.png,hurricane-florence_00000045_pre_disaster,0,0,train\masks\hurricane-florence_00000045_pre_disaster.png,0,0,25,15363,00000045
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000048_post_disaster.png,hurricane-florence_00000048_post_disaster,5,4405,train\masks\hurricane-florence_00000048_post_disaster.png,13,9933,5,2809,00000048
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000048_pre_disaster.png,hurricane-florence_00000048_pre_disaster,0,0,train\masks\hurricane-florence_00000048_pre_disaster.png,0,0,23,17201,00000048
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000049_post_disaster.png,hurricane-florence_00000049_post_disaster,0,0,train\masks\hurricane-florence_00000049_post_disaster.png,3,661,0,0,00000049
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000049_pre_disaster.png,hurricane-florence_00000049_pre_disaster,0,0,train\masks\hurricane-florence_00000049_pre_disaster.png,0,0,3,661,00000049
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000051_post_disaster.png,hurricane-florence_00000051_post_disaster,2,2247,train\masks\hurricane-florence_00000051_post_disaster.png,15,11296,1,586,00000051
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000051_pre_disaster.png,hurricane-florence_00000051_pre_disaster,0,0,train\masks\hurricane-florence_00000051_pre_disaster.png,0,0,18,14217,00000051
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000053_post_disaster.png,hurricane-florence_00000053_post_disaster,0,0,train\masks\hurricane-florence_00000053_post_disaster.png,0,0,6,8937,00000053
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000053_pre_disaster.png,hurricane-florence_00000053_pre_disaster,0,0,train\masks\hurricane-florence_00000053_pre_disaster.png,0,0,6,8937,00000053
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000054_post_disaster.png,hurricane-florence_00000054_post_disaster,0,0,train\masks\hurricane-florence_00000054_post_disaster.png,0,0,8,34525,00000054
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000054_pre_disaster.png,hurricane-florence_00000054_pre_disaster,0,0,train\masks\hurricane-florence_00000054_pre_disaster.png,0,0,8,34525,00000054
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000055_post_disaster.png,hurricane-florence_00000055_post_disaster,2,2126,train\masks\hurricane-florence_00000055_post_disaster.png,5,1695,2,1586,00000055
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000055_pre_disaster.png,hurricane-florence_00000055_pre_disaster,0,0,train\masks\hurricane-florence_00000055_pre_disaster.png,0,0,9,5475,00000055
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000057_post_disaster.png,hurricane-florence_00000057_post_disaster,0,0,train\masks\hurricane-florence_00000057_post_disaster.png,0,0,1,96,00000057
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000057_pre_disaster.png,hurricane-florence_00000057_pre_disaster,0,0,train\masks\hurricane-florence_00000057_pre_disaster.png,0,0,1,96,00000057
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000058_post_disaster.png,hurricane-florence_00000058_post_disaster,0,0,train\masks\hurricane-florence_00000058_post_disaster.png,0,0,0,0,00000058
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000058_pre_disaster.png,hurricane-florence_00000058_pre_disaster,0,0,train\masks\hurricane-florence_00000058_pre_disaster.png,0,0,0,0,00000058
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000059_post_disaster.png,hurricane-florence_00000059_post_disaster,0,0,train\masks\hurricane-florence_00000059_post_disaster.png,0,0,2,2764,00000059
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000059_pre_disaster.png,hurricane-florence_00000059_pre_disaster,0,0,train\masks\hurricane-florence_00000059_pre_disaster.png,0,0,2,2764,00000059
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000060_post_disaster.png,hurricane-florence_00000060_post_disaster,0,0,train\masks\hurricane-florence_00000060_post_disaster.png,0,0,9,7847,00000060
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000060_pre_disaster.png,hurricane-florence_00000060_pre_disaster,0,0,train\masks\hurricane-florence_00000060_pre_disaster.png,0,0,9,7847,00000060
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000061_post_disaster.png,hurricane-florence_00000061_post_disaster,0,0,train\masks\hurricane-florence_00000061_post_disaster.png,0,0,8,6147,00000061
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000061_pre_disaster.png,hurricane-florence_00000061_pre_disaster,0,0,train\masks\hurricane-florence_00000061_pre_disaster.png,0,0,8,6147,00000061
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000062_post_disaster.png,hurricane-florence_00000062_post_disaster,0,0,train\masks\hurricane-florence_00000062_post_disaster.png,1,888,6,3296,00000062
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000062_pre_disaster.png,hurricane-florence_00000062_pre_disaster,0,0,train\masks\hurricane-florence_00000062_pre_disaster.png,0,0,7,4184,00000062
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000063_post_disaster.png,hurricane-florence_00000063_post_disaster,0,0,train\masks\hurricane-florence_00000063_post_disaster.png,0,0,24,14059,00000063
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000063_pre_disaster.png,hurricane-florence_00000063_pre_disaster,0,0,train\masks\hurricane-florence_00000063_pre_disaster.png,0,0,24,14059,00000063
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000064_post_disaster.png,hurricane-florence_00000064_post_disaster,0,0,train\masks\hurricane-florence_00000064_post_disaster.png,0,0,31,21326,00000064
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000064_pre_disaster.png,hurricane-florence_00000064_pre_disaster,0,0,train\masks\hurricane-florence_00000064_pre_disaster.png,0,0,31,21326,00000064
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000065_post_disaster.png,hurricane-florence_00000065_post_disaster,0,0,train\masks\hurricane-florence_00000065_post_disaster.png,2,1757,0,0,00000065
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000065_pre_disaster.png,hurricane-florence_00000065_pre_disaster,0,0,train\masks\hurricane-florence_00000065_pre_disaster.png,0,0,2,1757,00000065
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000066_post_disaster.png,hurricane-florence_00000066_post_disaster,0,0,train\masks\hurricane-florence_00000066_post_disaster.png,0,0,19,15118,00000066
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000066_pre_disaster.png,hurricane-florence_00000066_pre_disaster,0,0,train\masks\hurricane-florence_00000066_pre_disaster.png,0,0,19,15155,00000066
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000067_post_disaster.png,hurricane-florence_00000067_post_disaster,0,0,train\masks\hurricane-florence_00000067_post_disaster.png,0,0,21,17311,00000067
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000067_pre_disaster.png,hurricane-florence_00000067_pre_disaster,0,0,train\masks\hurricane-florence_00000067_pre_disaster.png,0,0,21,17358,00000067
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000069_post_disaster.png,hurricane-florence_00000069_post_disaster,0,0,train\masks\hurricane-florence_00000069_post_disaster.png,0,0,9,7673,00000069
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000069_pre_disaster.png,hurricane-florence_00000069_pre_disaster,0,0,train\masks\hurricane-florence_00000069_pre_disaster.png,0,0,9,7673,00000069
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000070_post_disaster.png,hurricane-florence_00000070_post_disaster,1,2230,train\masks\hurricane-florence_00000070_post_disaster.png,13,11156,1,503,00000070
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000070_pre_disaster.png,hurricane-florence_00000070_pre_disaster,0,0,train\masks\hurricane-florence_00000070_pre_disaster.png,0,0,15,13914,00000070
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000072_post_disaster.png,hurricane-florence_00000072_post_disaster,0,0,train\masks\hurricane-florence_00000072_post_disaster.png,5,4860,0,0,00000072
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000072_pre_disaster.png,hurricane-florence_00000072_pre_disaster,0,0,train\masks\hurricane-florence_00000072_pre_disaster.png,0,0,5,4860,00000072
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000073_post_disaster.png,hurricane-florence_00000073_post_disaster,0,0,train\masks\hurricane-florence_00000073_post_disaster.png,0,0,2,2817,00000073
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000073_pre_disaster.png,hurricane-florence_00000073_pre_disaster,0,0,train\masks\hurricane-florence_00000073_pre_disaster.png,0,0,2,2817,00000073
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000075_post_disaster.png,hurricane-florence_00000075_post_disaster,0,0,train\masks\hurricane-florence_00000075_post_disaster.png,0,0,30,14767,00000075
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000075_pre_disaster.png,hurricane-florence_00000075_pre_disaster,0,0,train\masks\hurricane-florence_00000075_pre_disaster.png,0,0,30,14782,00000075
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000078_post_disaster.png,hurricane-florence_00000078_post_disaster,1,394,train\masks\hurricane-florence_00000078_post_disaster.png,2,2800,1,240,00000078
0,0,hurricane-florence,pre,train,train\images\hurricane-florence_00000078_pre_disaster.png,hurricane-florence_00000078_pre_disaster,0,0,train\masks\hurricane-florence_00000078_pre_disaster.png,0,0,4,3434,00000078
0,0,hurricane-florence,post,train,train\images\hurricane-florence_00000079_post_disaster.png,hurricane-florence_00000079_post_disaster,1,777,train\masks\hurricane-florence_00000079_post_disaster.png,0,0,10,9532,00000079
